,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
119,100.0,100.0,2,3,421,58,3.3,0.4,a,75,12.9,Trossard,1438,3,5,2,24,0,0,0,0,0,0,6,278,316.2,489.1,367.0,117.0
120,100.0,100.0,0,2,475,45,2.3,0.2,a,57,12.7,Burn,2147,0,0,6,32,0,0,0,4,0,0,0,366,461.2,275.6,102.0,83.8
121,100.0,100.0,1,2,493,45,3.0,0.6,a,69,15.3,Webster,2015,3,1,3,33,1,0,0,3,0,0,7,396,538.2,147.7,204.0,89.2
122,,,1,4,502,57,3.6,1.7,a,101,17.7,Maupay,2109,8,2,6,28,0,0,0,3,0,0,15,277,405.0,264.5,1250.0,191.7
123,100.0,100.0,1,3,516,48,2.9,0.7,a,64,13.3,Mooy,1651,2,1,4,26,0,0,0,0,1,0,9,267,354.8,510.3,255.0,111.9
124,100.0,75.0,7,4,534,42,2.4,1.1,a,41,9.8,Connolly,827,2,2,3,13,0,0,0,0,0,0,3,90,91.0,62.9,347.0,49.2
125,0.0,0.0,0,2,536,40,0.0,0.2,n,0,0.0,Baluta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
126,100.0,75.0,0,3,537,45,1.7,0.1,a,33,7.3,Alzate,1181,0,0,3,18,0,0,0,1,0,0,0,183,202.0,214.1,205.0,62.3
127,,,0,2,546,40,1.1,0.6,a,7,1.8,Schelotto,287,0,0,0,6,0,0,0,2,0,0,0,30,30.8,7.9,48.0,8.5
128,,,0,2,586,40,1.0,0.1,a,1,0.2,Lamptey,31,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0
129,,,0,3,627,55,1.0,0.0,a,1,0.2,Mac Allister,10,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.8,8.0,0.9
130,,,0,2,83,50,3.0,1.2,a,87,17.4,Mee,2610,0,2,11,40,0,0,0,7,0,0,1,476,577.0,95.0,343.0,101.7
131,100.0,100.0,2,2,84,52,3.5,3.9,a,101,19.4,Tarkowski,2610,1,2,11,40,0,0,0,8,0,0,10,515,668.6,110.9,294.0,107.4
132,100.0,0.0,0,2,85,42,2.7,0.3,a,41,9.8,Lowton,1350,0,1,5,26,0,0,0,2,0,0,0,236,264.8,178.1,15.0,45.9
133,100.0,100.0,1,2,86,43,3.4,0.3,a,48,11.2,Bardsley,1260,0,1,6,14,0,0,0,4,0,0,2,230,230.4,93.1,77.0,40.1
134,100.0,100.0,0,2,87,43,3.2,2.4,a,55,12.8,Taylor,1375,0,0,7,11,0,0,0,3,0,0,2,258,239.4,196.6,19.0,45.7
135,100.0,100.0,0,2,88,43,1.0,0.1,a,1,0.2,Long,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0
136,0.0,0.0,9,2,89,39,0.0,2.5,i,0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
137,75.0,75.0,1,4,90,61,3.2,2.2,d,61,10.0,Barnes,1350,6,0,8,21,0,0,0,4,0,0,6,161,226.2,85.1,474.0,75.9
138,75.0,100.0,3,4,91,61,4.2,1.5,d,109,17.9,Wood,2061,11,1,10,28,1,0,0,1,0,0,16,302,453.8,248.1,891.0,158.0
